CPT,FLEX,FLEX,FLEX,FLEX,FLEX
Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Marcus Whitfield (10001),Marcus Whitfield,10001,FLEX,10400,YSU@OSU 08/29/2026 07:00PM ET,OSU,24.6
QB,Marcus Whitfield (20001),Marcus Whitfield,20001,CPT,15600,YSU@OSU 08/29/2026 07:00PM ET,OSU,36.9
RB,Trey Coleman (10002),Trey Coleman,10002,FLEX,9600,YSU@OSU 08/29/2026 07:00PM ET,OSU,19.8
RB,Trey Coleman (20002),Trey Coleman,20002,CPT,14400,YSU@OSU 08/29/2026 07:00PM ET,OSU,29.7
RB,Dominic Reyes (10003),Dominic Reyes,10003,FLEX,5200,YSU@OSU 08/29/2026 07:00PM ET,OSU,9.4
RB,Dominic Reyes (20003),Dominic Reyes,20003,CPT,7800,YSU@OSU 08/29/2026 07:00PM ET,OSU,14.1
WR,Isaiah Brooks (10004),Isaiah Brooks,10004,FLEX,8800,YSU@OSU 08/29/2026 07:00PM ET,OSU,17.2
WR,Isaiah Brooks (20004),Isaiah Brooks,20004,CPT,13200,YSU@OSU 08/29/2026 07:00PM ET,OSU,25.8
WR,Caleb Sanders (10005),Caleb Sanders,10005,FLEX,6400,YSU@OSU 08/29/2026 07:00PM ET,OSU,11.6
WR,Caleb Sanders (20005),Caleb Sanders,20005,CPT,9600,YSU@OSU 08/29/2026 07:00PM ET,OSU,17.4
TE,Nolan Priest (10006),Nolan Priest,10006,FLEX,4200,YSU@OSU 08/29/2026 07:00PM ET,OSU,7.1
TE,Nolan Priest (20006),Nolan Priest,20006,CPT,6300,YSU@OSU 08/29/2026 07:00PM ET,OSU,10.7
QB,Jaylen Foster (10007),Jaylen Foster,10007,FLEX,6600,YSU@OSU 08/29/2026 07:00PM ET,YSU,15.3
QB,Jaylen Foster (20007),Jaylen Foster,20007,CPT,9900,YSU@OSU 08/29/2026 07:00PM ET,YSU,23.0
RB,Andre Mackey (10008),Andre Mackey,10008,FLEX,5800,YSU@OSU 08/29/2026 07:00PM ET,YSU,12.4
RB,Andre Mackey (20008),Andre Mackey,20008,CPT,8700,YSU@OSU 08/29/2026 07:00PM ET,YSU,18.6
RB,Devin Ortiz (10009),Devin Ortiz,10009,FLEX,3000,YSU@OSU 08/29/2026 07:00PM ET,YSU,5.8
RB,Devin Ortiz (20009),Devin Ortiz,20009,CPT,4500,YSU@OSU 08/29/2026 07:00PM ET,YSU,8.7
WR,Malik Sweeney (10010),Malik Sweeney,10010,FLEX,5000,YSU@OSU 08/29/2026 07:00PM ET,YSU,10.9
WR,Malik Sweeney (20010),Malik Sweeney,20010,CPT,7500,YSU@OSU 08/29/2026 07:00PM ET,YSU,16.4
WR,Corey Nash (10011),Corey Nash,10011,FLEX,3400,YSU@OSU 08/29/2026 07:00PM ET,YSU,6.2
WR,Corey Nash (20011),Corey Nash,20011,CPT,5100,YSU@OSU 08/29/2026 07:00PM ET,YSU,9.3
TE,Ryan Whitlock (10012),Ryan Whitlock,10012,FLEX,3000,YSU@OSU 08/29/2026 07:00PM ET,YSU,4.9
TE,Ryan Whitlock (20012),Ryan Whitlock,20012,CPT,4500,YSU@OSU 08/29/2026 07:00PM ET,YSU,7.4
