player,projected_points,ceiling,floor,std_dev
Will Cross,28.9,52.8,12.3,11.25
Bo Bennett,12.5,19.9,7.1,3.57
Cade Odunze,11.6,20.6,6.8,3.83
Omarion Reed,7.5,14.4,2.8,3.2
Cade Carter,15.8,28.6,8.4,5.62
Zach Pearson,25.6,48.9,11.8,10.3
Quinshon Cross,23.0,40.5,12.9,7.66
Zach Fields,8.0,17.4,3.3,3.92
Cade Bennett,8.6,15.9,4.2,3.24
Ricky Bishop,6.4,12.0,2.6,2.6
Kaden Bowers,15.5,29.5,7.9,5.99
Luther Bowers,6.9,13.1,3.6,2.65
Deuce Coleman,11.0,19.3,5.8,3.74
Colt Coleman,29.4,60.1,11.2,13.58
Cooper Bennett,22.3,42.5,12.6,8.29
Will Vaughn,19.1,33.5,11.6,6.07
Kobe Vaughn,15.9,33.3,6.8,7.35
Colt Reed,12.4,23.3,5.8,4.87
Deion Etienne,15.1,30.9,6.2,6.87
Jalen Coleman,20.6,36.9,11.9,6.96
Colt Carter,25.5,50.4,10.3,11.15
Malachi Bennett,22.8,40.0,12.2,7.72
Travis Bennett,16.4,26.6,8.9,4.91
Kaden Coleman,20.9,43.8,8.3,9.88
Will Etienne,13.5,25.9,6.0,5.54
Zach Judkins,8.7,17.1,3.2,3.87
Luther Nabers,32.0,53.2,17.5,9.9
Zach Sanders,25.6,47.7,10.8,10.26
Ricky Mitchell,5.6,11.4,2.0,2.59
Dallas Cross,13.0,21.3,7.7,3.8
Zach Mitchell,9.6,19.7,3.6,4.46
Treylon Bowers,24.4,47.2,12.9,9.52
Malachi Bowers,18.9,39.3,8.0,8.68
Treylon Downs,11.0,23.3,4.4,5.26
Malachi Carter,10.7,18.9,6.2,3.52
Ricky Turner,7.5,16.0,3.0,3.6
Will Sanders,26.0,50.3,9.7,11.27
Omarion Nabers,21.6,45.4,9.9,9.86
Deion Carter,20.7,35.8,10.8,6.94
Bo Bishop,25.6,45.8,15.1,8.53
Zach Bowers,16.6,30.4,9.0,5.96
Cade Reed,7.2,13.3,3.0,2.85
Luther Coleman,18.1,34.0,8.0,7.22
Cameron Bowers,6.4,12.2,3.4,2.45
Ricky Bennett,16.4,26.3,8.9,4.83
Cade Etienne,17.3,31.4,7.8,6.55
Ricky Sanders,7.0,12.5,4.2,2.31
Malachi Odunze,18.5,30.5,10.3,5.59
Ricky Bowers,13.7,24.7,6.9,4.95
Deuce Bowers,18.7,33.4,9.6,6.61
Malachi Etienne,19.4,36.6,9.2,7.61
Treylon Harrison,14.1,26.8,5.8,5.83
