Position,Name,ID,Salary,Team,Opponent,AvgPointsPerGame
QB,Will Cross,5001,6900,OSU,MICH,26.9
RB,Bo Bennett,5002,4400,OSU,MICH,11.7
RB,Cade Odunze,5003,4500,OSU,MICH,11.8
RB,Omarion Reed,5004,3400,OSU,MICH,7.0
RB,Cade Carter,5005,5800,OSU,MICH,15.7
RB,Zach Pearson,5006,8100,OSU,MICH,25.2
WR,Quinshon Cross,5007,8200,OSU,MICH,22.9
WR,Zach Fields,5008,3700,OSU,MICH,8.4
WR,Cade Bennett,5009,3900,OSU,MICH,8.4
WR,Ricky Bishop,5010,3200,OSU,MICH,6.0
WR,Kaden Bowers,5011,6100,OSU,MICH,15.7
WR,Luther Bowers,5012,3300,OSU,MICH,7.0
WR,Deuce Coleman,5013,4800,OSU,MICH,10.7
QB,Colt Coleman,5014,8000,MICH,OSU,28.9
RB,Cooper Bennett,5015,7600,MICH,OSU,23.4
RB,Will Vaughn,5016,6800,MICH,OSU,19.5
RB,Kobe Vaughn,5017,5900,MICH,OSU,16.4
RB,Colt Reed,5018,4700,MICH,OSU,12.1
RB,Deion Etienne,5019,5100,MICH,OSU,15.1
WR,Jalen Coleman,5020,7000,MICH,OSU,20.9
WR,Colt Carter,5021,8300,MICH,OSU,24.8
WR,Malachi Bennett,5022,7900,MICH,OSU,22.2
WR,Travis Bennett,5023,5700,MICH,OSU,15.3
WR,Kaden Coleman,5024,7700,MICH,OSU,21.1
WR,Will Etienne,5025,5200,MICH,OSU,13.2
WR,Zach Judkins,5026,4000,MICH,OSU,8.2
QB,Luther Nabers,5027,8100,BAMA,AUB,30.4
RB,Zach Sanders,5028,7500,BAMA,AUB,24.1
RB,Ricky Mitchell,5029,3300,BAMA,AUB,5.4
RB,Dallas Cross,5030,4700,BAMA,AUB,12.6
RB,Zach Mitchell,5031,4100,BAMA,AUB,9.4
RB,Treylon Bowers,5032,8100,BAMA,AUB,25.3
WR,Malachi Bowers,5033,6600,BAMA,AUB,19.3
WR,Treylon Downs,5034,4400,BAMA,AUB,11.2
WR,Malachi Carter,5035,4200,BAMA,AUB,10.8
WR,Ricky Turner,5036,3600,BAMA,AUB,7.7
WR,Will Sanders,5037,8000,BAMA,AUB,24.4
WR,Omarion Nabers,5038,7500,BAMA,AUB,22.7
WR,Deion Carter,5039,6900,BAMA,AUB,19.8
QB,Bo Bishop,5040,7000,AUB,BAMA,26.2
RB,Zach Bowers,5041,5900,AUB,BAMA,16.7
RB,Cade Reed,5042,3400,AUB,BAMA,6.7
RB,Luther Coleman,5043,6000,AUB,BAMA,17.4
RB,Cameron Bowers,5044,3400,AUB,BAMA,6.6
RB,Ricky Bennett,5045,5600,AUB,BAMA,15.2
WR,Cade Etienne,5046,6000,AUB,BAMA,16.3
WR,Ricky Sanders,5047,3600,AUB,BAMA,7.2
WR,Malachi Odunze,5048,6300,AUB,BAMA,17.6
WR,Ricky Bowers,5049,5200,AUB,BAMA,13.3
WR,Deuce Bowers,5050,6300,AUB,BAMA,18.2
WR,Malachi Etienne,5051,7100,AUB,BAMA,19.1
WR,Treylon Harrison,5052,5000,AUB,BAMA,13.4
