player,projected_points,ceiling,floor,std_dev
Xavier Wilson,25.0,42.0,11.9,8.85
Tyler Martin,18.1,32.4,9.9,6.6
Nate Martin,9.1,17.1,4.6,3.66
Jalen Davis,14.4,26.3,7.5,5.54
Rashad Taylor,12.7,20.9,7.8,3.88
Marcus Davis,22.4,36.5,14.0,6.63
Marcus Walker,6.1,10.5,3.2,2.15
Jaylen Thompson,4.2,6.7,2.3,1.28
Nate Miller,21.9,37.8,12.5,7.43
Jalen Taylor,13.6,24.1,7.1,4.98
Marcus Harris,18.5,30.6,10.2,6.01
Tyler Harris,9.2,14.6,5.5,2.67
Trevor Moore,6.2,9.7,3.7,1.75
Antonio Martin,12.4,19.7,7.3,3.65
Malik Lewis,8.1,12.9,4.7,2.41
Kenny Young,3.4,5.7,1.6,1.2
Jaylen Brown,24.7,43.8,12.0,9.35
Terry Allen,7.9,13.3,4.1,2.73
Xavier Taylor,15.9,24.0,9.3,4.33
Devon Moore,7.6,13.4,3.4,2.94
Jaylen Johnson,8.5,15.4,4.2,3.27
Isaiah Scott,18.1,28.8,10.2,5.47
Devon Harris,14.7,22.9,8.0,4.38
Malik Thomas,10.3,15.9,6.2,2.85
Marcus Scott,11.2,18.8,7.3,3.37
Nate Allen,15.1,23.9,8.7,4.48
Nate Young,21.2,36.1,9.7,7.76
Trevor Jackson,9.0,15.9,3.9,3.51
Devon Allen,15.0,25.4,6.8,5.48
Devon Johnson,11.0,19.1,5.0,4.14
Isaiah Allen,11.5,19.4,5.6,4.07
Jalen Young,6.1,11.0,2.9,2.39
DeAndre Scott,16.1,30.7,8.3,6.59
Cooper Jackson,11.9,21.0,5.8,4.49
James Jackson,20.7,36.2,12.4,6.98
Cooper Moore,14.5,25.5,7.1,5.41
James Walker,15.5,24.8,9.6,4.47
Malik Clark,13.3,22.2,7.1,4.45
Tyler Jackson,8.4,14.3,4.1,3.01
James White,22.5,33.5,13.2,5.97
Kenny Davis,7.5,13.5,3.9,2.82
Malik Moore,7.2,12.1,4.1,2.35
Nate Moore,25.7,44.3,11.4,9.66
Terry Brown,23.7,37.7,12.9,7.29
Chris Miller,6.9,11.0,3.7,2.15
Xavier Young,11.0,19.6,5.0,4.29
Jaylen Williams,11.3,19.5,6.9,3.73
Cooper Allen,10.5,16.4,5.7,3.12
Marcus Robinson,21.4,36.0,13.8,6.5
Isaiah Anderson,11.6,20.0,5.6,4.26
DeAndre White,17.4,29.2,10.1,5.62
James Wright,20.0,34.1,12.0,6.5
Terry Williams,21.3,35.6,13.1,6.61
Jalen Johnson,13.2,22.8,6.1,4.91
Trevor Wilson,8.9,14.7,4.3,3.07
Antonio Williams,11.7,19.3,7.1,3.58
Josh Johnson,24.5,40.0,12.6,8.06
DeAndre Wilson,7.1,12.4,3.8,2.54
Chris Anderson,13.7,23.9,7.2,4.91
DeAndre Thompson,13.0,21.5,7.6,4.11
Rashad Miller,12.0,20.3,6.7,3.99
Dontae Clark,10.3,18.0,4.4,4.01
Cooper White,8.2,15.4,4.4,3.23
Chris Johnson,5.2,9.6,2.5,2.09
