Position,Name,ID,Salary,Team,Opponent,AvgPointsPerGame
QB,Xavier Wilson,1001,7300,BUF,MIA,23.4
RB,Tyler Martin,1002,7200,BUF,MIA,18.5
RB,Nate Martin,1003,4200,BUF,MIA,9.4
RB,Jalen Davis,1004,5800,BUF,MIA,14.7
RB,Rashad Taylor,1005,5300,BUF,MIA,12.8
RB,Marcus Davis,1006,8100,BUF,MIA,22.6
WR,Marcus Walker,1007,3900,BUF,MIA,6.0
WR,Jaylen Thompson,1008,3400,BUF,MIA,4.0
WR,Nate Miller,1009,8500,BUF,MIA,22.2
WR,Jalen Taylor,1010,6200,BUF,MIA,13.6
WR,Marcus Harris,1011,7300,BUF,MIA,18.0
WR,Tyler Harris,1012,4400,BUF,MIA,9.0
TE,Trevor Moore,1013,3500,BUF,MIA,6.0
TE,Antonio Martin,1014,5700,BUF,MIA,12.0
TE,Malik Lewis,1015,4700,BUF,MIA,7.8
DST,Kenny Young,1016,2100,BUF,MIA,3.2
QB,Jaylen Brown,1017,8000,MIA,BUF,24.2
RB,Terry Allen,1018,3700,MIA,BUF,7.6
RB,Xavier Taylor,1019,5600,MIA,BUF,14.9
RB,Devon Moore,1020,4100,MIA,BUF,7.2
RB,Jaylen Johnson,1021,4300,MIA,BUF,8.5
RB,Isaiah Scott,1022,6300,MIA,BUF,17.3
WR,Devon Harris,1023,5500,MIA,BUF,13.7
WR,Malik Thomas,1024,5000,MIA,BUF,9.9
WR,Marcus Scott,1025,5000,MIA,BUF,11.7
WR,Nate Allen,1026,6200,MIA,BUF,14.5
WR,Nate Young,1027,7800,MIA,BUF,19.8
WR,Trevor Jackson,1028,4100,MIA,BUF,8.5
TE,Devon Allen,1029,6100,MIA,BUF,13.9
TE,Devon Johnson,1030,5300,MIA,BUF,10.4
TE,Isaiah Allen,1031,5500,MIA,BUF,10.9
DST,Jalen Young,1032,2200,MIA,BUF,6.0
QB,DeAndre Scott,1033,5400,DAL,NYG,16.9
RB,Cooper Jackson,1034,4700,DAL,NYG,11.6
RB,James Jackson,1035,7900,DAL,NYG,21.5
RB,Cooper Moore,1036,5700,DAL,NYG,14.1
RB,James Walker,1037,6400,DAL,NYG,15.4
RB,Malik Clark,1038,5100,DAL,NYG,12.9
WR,Tyler Jackson,1039,3900,DAL,NYG,8.0
WR,James White,1040,7600,DAL,NYG,21.0
WR,Kenny Davis,1041,3900,DAL,NYG,7.6
WR,Malik Moore,1042,4200,DAL,NYG,7.2
WR,Nate Moore,1043,8700,DAL,NYG,24.0
WR,Terry Brown,1044,7900,DAL,NYG,22.4
TE,Chris Miller,1045,4200,DAL,NYG,6.5
TE,Xavier Young,1046,5700,DAL,NYG,10.6
TE,Jaylen Williams,1047,5600,DAL,NYG,11.7
DST,Cooper Allen,1048,3600,DAL,NYG,9.8
QB,Marcus Robinson,1049,6600,NYG,DAL,22.3
RB,Isaiah Anderson,1050,4600,NYG,DAL,11.1
RB,DeAndre White,1051,6400,NYG,DAL,17.4
RB,James Wright,1052,7700,NYG,DAL,20.5
RB,Terry Williams,1053,8100,NYG,DAL,21.7
RB,Jalen Johnson,1054,5000,NYG,DAL,12.5
WR,Trevor Wilson,1055,4500,NYG,DAL,8.3
WR,Antonio Williams,1056,5500,NYG,DAL,11.8
WR,Josh Johnson,1057,8300,NYG,DAL,23.1
WR,DeAndre Wilson,1058,3600,NYG,DAL,7.1
WR,Chris Anderson,1059,6200,NYG,DAL,13.6
WR,DeAndre Thompson,1060,5400,NYG,DAL,12.9
TE,Rashad Miller,1061,6200,NYG,DAL,11.9
TE,Dontae Clark,1062,5100,NYG,DAL,9.6
TE,Cooper White,1063,4700,NYG,DAL,8.6
DST,Chris Johnson,1064,2400,NYG,DAL,5.2
